proyecto,id_expediente,tipo,estado,region,hito_pre_adenda,tiene_icsara,n_pacs,n_adendas,n_icsaras,dias_ingreso_a_admisibilidad,dias_admisibilidad_a_solicitud,dias_solicitud_a_icsara1,dias_icsara1_a_pac1,dias_pre_adenda_a_adenda1,dias_solicitud_a_ice,dias_ultima_adenda_a_ice,dias_ice_a_rca,dias_totales_ingreso_a_rca,dias_habiles_ingreso_a_admisibilidad,dias_habiles_admisibilidad_a_solicitud,dias_habiles_solicitud_a_icsara1,dias_habiles_icsara1_a_pac1,dias_habiles_pre_adenda_a_adenda1,dias_habiles_solicitud_a_ice,dias_habiles_ultima_adenda_a_ice,dias_habiles_ice_a_rca,dias_habiles_totales_ingreso_a_rca
Zona de Mina Pampa Blanca,4014497,EIA,Aprobado,Región de Antofagasta,ICSARA,True,0,6,3,7,2,50,,136,321,48,21,351,4,2,36,,92,222,33,13,241
TERMINAL PARA CARGA Y DESCARGA DE COMBUSTIBLE MEJILLONES,4168730,EIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,5,,,,,,,,,3,,,,,,,,
TERMINAL PARA CARGA Y DESCARGA DE COMBUSTIBLE MEJILLONES,4202496,EIA,Desistido,Región de Antofagasta,ICSARA,True,0,0,1,3,0,67,,,,,,,3,0,44,,,,,,
Terminal para Carga y Descarga de Combustible Mejillones,4586394,EIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,6,,,,,,,,,4,,,,,,,,
Proyecto Sierra Gorda,4629469,EIA,Aprobado,Región de Antofagasta,ICSARA,True,0,4,4,6,0,67,,55,378,41,21,405,4,0,47,,37,262,29,14,280
Proyecto Antucoya,5117166,EIA,Aprobado,Región de Antofagasta,ICSARA,True,1,2,2,3,3,58,36,19,192,50,25,223,3,1,41,26,13,136,36,16,156
Solución Pasivos Ambientales y Reactivación Mina Montecristo y Planta Santo Domingo,5117490,EIA,Aprobado,Región de Antofagasta,ICSARA,True,0,4,4,3,4,72,,198,606,23,21,634,3,2,52,,138,420,16,12,437
Concesión Autopistas de la Región de Antofagasta Tramo Ruta 1 Sector Antofagasta - Mejillones. Región de Antofagasta,3445485,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,4,2,7,0,46,,69,180,19,15,202,5,0,32,,47,124,12,10,139
Línea 2x 220 kV S/E El Cobre  S/E Esperanza,3450911,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,1,7,0,43,,15,98,40,16,121,5,0,31,,11,69,27,11,85
Proyecto Generación Eléctrica de Respaldo Minas el Peñón y Fortuna,3472344,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,1,7,0,40,,8,98,50,12,117,5,0,28,,6,69,35,7,81
"Concesión Autopistas de la Región de Antofagasta, Tramo Ruta 5 Sector Antofagasta - Carmen Alto",3467641,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,6,3,7,0,36,,13,138,28,,118,5,0,26,,9,95,19,,82
Planta Concentradora Acido Nítrico y Sulfúrico,3492759,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,6,,,,,,,,,4,,,,,,,,
Ampliación Producción Cloruro de Potasio Salar,3510516,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,6,3,7,0,34,,41,160,21,14,181,5,0,24,,28,110,14,9,124
Programa de Exploración Turi,3506403,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,4,2,6,0,33,,42,181,26,27,214,4,0,23,,29,124,17,19,147
Modificación de la Zona ZU-5 del Plan Regulador de Calama,3521921,DIA,Desistido,Región de Antofagasta,,False,0,0,0,7,0,,,,,,,,5,0,,,,,,,
Planta Lavado de Diesel,3544515,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
